,human_ncbi_id,xenDB_id,frog_gene_name,frog_gene_description,human gene name,Ensembl GeneIDs,xenDB_geneID,frog_ncbi
3626,114088,XB-GENEPAGE-961276,TRIM9,tripartite motif containing 9,TRIM9,ENSG00000100505,XB-GENE-17340295,108699783
3627,23704,XB-GENEPAGE-961288,KCNE4,"potassium channel, voltage gated subfamily E regulatory beta subunit 4",KCNE4,ENSG00000152049,XB-GENE-17332131,108718154
3628,7163,XB-GENEPAGE-961291,TPD52,tumor protein D52,TPD52,ENSG00000076554,XB-GENE-17340895,734839
3629,8435,XB-GENEPAGE-961302,SOAT2,sterol O-acyltransferase 2,SOAT2,ENSG00000167780,XB-GENE-961306,779411
3630,445815,XB-GENEPAGE-961311,PALM2AKAP2,PALM2 and AKAP2 fusion,PALM2AKAP2,ENSG00000157654,XB-GENE-17341816,108703733
3631,92014,XB-GENEPAGE-961320,SLC25A51,solute carrier family 25 member 51,SLC25A51,ENSG00000122696,XB-GENE-6486754,108703731
3632,115825,XB-GENEPAGE-961326,WDFY2,WD repeat and FYVE domain containing 2,WDFY2,ENSG00000139668,XB-GENE-17333081,108709928
3633,400,XB-GENEPAGE-961331,ARL1,ADP ribosylation factor like GTPase 1,ARL1,ENSG00000120805,XB-GENE-17341236,447362
3634,51308,XB-GENEPAGE-961346,REEP2,receptor accessory protein 2,REEP2,ENSG00000132563,XB-GENE-17334888,121402202
3635,80821,XB-GENEPAGE-961356,DDHD1,DDHD domain containing 1,DDHD1,ENSG00000100523,XB-GENE-17340304,495273
3636,2643,XB-GENEPAGE-961364,GCH1,GTP cyclohydrolase 1,GCH1,ENSG00000131979,XB-GENE-17338629,108699789
3637,1627,XB-GENEPAGE-961392,DBN1,drebrin 1,DBN1,ENSG00000113758,XB-GENE-961399,494829
3638,6102,XB-GENEPAGE-961408,RP2,"RP2, ARL3 GTPase activating protein",RP2,ENSG00000102218,XB-GENE-961413,379779
3639,11004,XB-GENEPAGE-961444,KIF2C,kinesin family member 2C,KIF2C,ENSG00000142945,XB-GENE-961451,380006
3640,220963,XB-GENEPAGE-961457,SLC16A9,solute carrier family 16 member 9,SLC16A9,ENSG00000165449,XB-GENE-17335895,108697363
3641,146760,XB-GENEPAGE-961464,RTN4RL1,reticulon 4 receptor-like 1,RTN4RL1,ENSG00000185924,XB-GENE-6489164,108708847
3642,53354,XB-GENEPAGE-961476,PANK1,pantothenate kinase 1,PANK1,ENSG00000152782,XB-GENE-6487465,108697457
3643,54858,XB-GENEPAGE-961492,PGPEP1,pyroglutamyl-peptidase I,PGPEP1,ENSG00000130517,XB-GENE-961499,734766
3644,9731,XB-GENEPAGE-961504,CEP104,centrosomal protein 104kDa,CEP104,ENSG00000116198,XB-GENE-6488702,108697676
3645,26235,XB-GENEPAGE-961512,FBXL4,F-box and leucine-rich repeat protein 4,FBXL4,ENSG00000112234,XB-GENE-17338767,108697668
3646,11060,XB-GENEPAGE-961515,WWP2,WW domain containing E3 ubiquitin protein ligase 2,WWP2,ENSG00000198373,XB-GENE-17338772,108715425
3647,60482,XB-GENEPAGE-961534,SLC5A7,"solute carrier family 5 (sodium/choline cotransporter), member 7",SLC5A7,ENSG00000115665,XB-GENE-17339383,108709693
3648,347404,XB-GENEPAGE-961537,LANCL3,LanC like family member 3,LANCL3,ENSG00000147036,XB-GENE-17339387,108709688
3649,2710,XB-GENEPAGE-961540,GK,glycerol kinase,GK,ENSG00000198814,XB-GENE-961547,380332
3650,283385,XB-GENEPAGE-961552,MORN3,MORN repeat containing 3,MORN3,ENSG00000139714,XB-GENE-961556,496069
3651,205327,XB-GENEPAGE-961561,C9H2ORF69,chromosome 9 C2orf69 homolog,C2orf69,ENSG00000178074,XB-GENE-6486194,108703055
3652,8419,XB-GENEPAGE-961571,BFSP2,beaded filament structural protein 2,BFSP2,ENSG00000170819,XB-GENE-17338169,108720122
3653,223082,XB-GENEPAGE-961582,ZNRF2,"zinc and ring finger 2, E3 ubiquitin protein ligase",ZNRF2,ENSG00000180233,XB-GENE-17333023,108719979
3654,3036,XB-GENEPAGE-961587,HAS1,hyaluronan synthase 1,HAS1,ENSG00000105509,XB-GENE-6256069,379383
3655,7750,XB-GENEPAGE-961590,ZMYM2,zinc finger MYM-type containing 2,ZMYM2,ENSG00000121741,XB-GENE-17341174,108709977
3656,114569,XB-GENEPAGE-961599,MAL2,"mal, T cell differentiation protein 2",MAL2,ENSG00000147676,XB-GENE-961604,444282
3657,27087,XB-GENEPAGE-961612,B3GAT1,"beta-1,3-glucuronyltransferase 1",B3GAT1,ENSG00000109956,XB-GENE-18005873,108697547
3658,11267,XB-GENEPAGE-961617,SNF8,"SNF8, ESCRT-II complex subunit",SNF8,ENSG00000159210,XB-GENE-961623,100037233
3659,64432,XB-GENEPAGE-961633,MRPS25,mitochondrial ribosomal protein S25,MRPS25,ENSG00000131368,XB-GENE-17337806,733400
3660,152273,XB-GENEPAGE-961643,FGD5,"FYVE, RhoGEF and PH domain containing 5",FGD5,ENSG00000154783,XB-GENE-6487112,108715864
3661,254228,XB-GENEPAGE-961666,CALHM5,calcium homeostasis modulator family member 5,CALHM5,ENSG00000178033,XB-GENE-17344754,108717925
3662,5500,XB-GENEPAGE-961669,PPP1CB,"protein phosphatase 1, catalytic subunit, beta isozyme",PPP1CB,ENSG00000213639,XB-GENE-17344746,108717671
3663,11311,XB-GENEPAGE-961681,VPS45,vacuolar protein sorting 45 homolog,VPS45,ENSG00000136631,XB-GENE-961687,495045
3664,5801,XB-GENEPAGE-961692,PTPRR,protein tyrosine phosphatase receptor type R,PTPRR,ENSG00000153233,XB-GENE-17341973,108712367
3665,11052,XB-GENEPAGE-961702,CPSF6,cleavage and polyadenylation specific factor 6,CPSF6,ENSG00000111605,XB-GENE-961710,446580
3666,81794,XB-GENEPAGE-961722,ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10,ADAMTS10,ENSG00000142303,XB-GENE-6488578,108706867
3667,51274,XB-GENEPAGE-961741,KLF3,KLF transcription factor 3,KLF3,ENSG00000109787,XB-GENE-17331111,108706565
3668,27086,XB-GENEPAGE-961744,FOXP1,forkhead box P1,FOXP1,ENSG00000114861,XB-GENE-961750,496386
3669,84187,XB-GENEPAGE-961758,TMEM164,transmembrane protein 164,TMEM164,ENSG00000157600,XB-GENE-6486507,108700102
3670,5063,XB-GENEPAGE-961763,PAK3,p21 protein (Cdc42/Rac)-activated kinase 3,PAK3,ENSG00000077264,XB-GENE-17330501,108700104
3671,9253,XB-GENEPAGE-961775,NUMBL,numb homolog-like,NUMBL,ENSG00000105245,XB-GENE-17338737,108700267
3672,112398,XB-GENEPAGE-961780,EGLN2,egl-9 family hypoxia-inducible factor 2,EGLN2,ENSG00000269858,XB-GENE-17346847,108700271
3673,57455,XB-GENEPAGE-961785,REXO1,"REX1, RNA exonuclease 1 homolog",REXO1,ENSG00000079313,XB-GENE-961790,733188
3674,30845,XB-GENEPAGE-961794,EHD3,EH domain containing 3,EHD3,ENSG00000013016,XB-GENE-17338134,108717680
3675,58157,XB-GENEPAGE-961803,NGB,neuroglobin,NGB,ENSG00000165553,XB-GENE-17342336,108700489
3676,56943,XB-GENEPAGE-961809,ENY2,enhancer of yellow 2 homolog,ENY2,ENSG00000120533,XB-GENE-17342331,108695423
3677,57594,XB-GENEPAGE-961817,HOMEZ,homeobox and leucine zipper encoding,HOMEZ,ENSG00000290292,XB-GENE-17334215,108707017
3678,8516,XB-GENEPAGE-961824,ITGA8,integrin subunit alpha 8,ITGA8,ENSG00000077943,XB-GENE-6487820,108719885
3679,53407,XB-GENEPAGE-961834,STX18,syntaxin 18,STX18,ENSG00000168818,XB-GENE-17333611,108706538
3680,55351,XB-GENEPAGE-961847,STK32B,serine/threonine kinase 32B,STK32B,ENSG00000152953,XB-GENE-17341090,121399270
3681,345222,XB-GENEPAGE-961850,MSANTD1,Myb/SANT-like DNA-binding domain containing 1,MSANTD1,ENSG00000188981,XB-GENE-17332990,108706523
3682,5714,XB-GENEPAGE-961853,PSMD8,"proteasome 26S subunit, non-ATPase 8",PSMD8,ENSG00000099341,XB-GENE-6252271,414691
3683,22856,XB-GENEPAGE-961882,CHSY1,chondroitin sulfate synthase 1,CHSY1,ENSG00000131873,XB-GENE-17339959,108712816
3684,8834,XB-GENEPAGE-961891,TMEM11,transmembrane protein 11,TMEM11,ENSG00000178307,XB-GENE-17331717,734799
3685,8896,XB-GENEPAGE-961903,BUD31,BUD31 homolog,BUD31,ENSG00000106245,XB-GENE-17336659,108703088
3686,6482,XB-GENEPAGE-961930,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",ST3GAL1,ENSG00000008513,XB-GENE-17345402,108695455
3687,11101,XB-GENEPAGE-961933,ATE1,arginyltransferase 1,ATE1,ENSG00000107669,XB-GENE-17345403,432192
3688,9604,XB-GENEPAGE-961943,RNF14.5,ring finger protein 14 gene 5,RNF14,ENSG00000013561,XB-GENE-17337851,100037145
3689,80762,XB-GENEPAGE-961956,NDFIP1,Nedd4 family interacting protein 1,NDFIP1,ENSG00000131507,XB-GENE-17346003,100036827
3690,94134,XB-GENEPAGE-961970,ARHGAP12,Rho GTPase activating protein 12,ARHGAP12,ENSG00000165322,XB-GENE-961974,380483
3691,11340,XB-GENEPAGE-961979,EXOSC8,exosome component 8,EXOSC8,ENSG00000120699,XB-GENE-961986,379078
3692,59349,XB-GENEPAGE-961994,KLHL12,kelch like family member 12,KLHL12,ENSG00000117153,XB-GENE-17330226,108709500
3693,5737,XB-GENEPAGE-962003,PTGFR,prostaglandin F receptor (FP),PTGFR,ENSG00000122420,XB-GENE-1193871,108715094
3694,140688,XB-GENEPAGE-962006,NOL4L,nucleolar protein 4-like,NOL4L,ENSG00000197183,XB-GENE-17332844,108702447
3695,7159,XB-GENEPAGE-962013,TP53BP2,tumor protein p53 binding protein 2,TP53BP2,ENSG00000143514,XB-GENE-17340972,414498
3696,54414,XB-GENEPAGE-962030,SIAE,sialic acid acetylesterase,SIAE,ENSG00000110013,XB-GENE-17341598,495015
3697,245973,XB-GENEPAGE-962057,ATP6V1C2,"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2",ATP6V1C2,ENSG00000143882,XB-GENE-17339803,108718244
3698,9755,XB-GENEPAGE-962067,TBKBP1,TBK1 binding protein 1,TBKBP1,ENSG00000198933,XB-GENE-17332226,108702504
3699,401498,XB-GENEPAGE-962097,TMEM215,transmembrane protein 215,TMEM215,ENSG00000188133,XB-GENE-17338560,108706322
3700,84694,XB-GENEPAGE-962100,GJA10,gap junction protein alpha 10,GJA10,ENSG00000135355,XB-GENE-17345797,108717561
3701,5409,XB-GENEPAGE-962103,PNMT,phenylethanolamine N-methyltransferase,PNMT,ENSG00000141744,XB-GENE-6489359,108702360
3702,338811,XB-GENEPAGE-962108,TAFA2,TAFA chemokine like family member 2,TAFA2,ENSG00000198673,XB-GENE-17345792,108713133
3703,85479,XB-GENEPAGE-962116,DNAJC5B,DnaJ heat shock protein family (Hsp40) member C5 beta,DNAJC5B,ENSG00000147570,XB-GENE-17337700,108695318
3704,9454,XB-GENEPAGE-962122,HOMER3,homer scaffold protein 3,HOMER3,ENSG00000051128,XB-GENE-17345212,414626
3705,79759,XB-GENEPAGE-962153,ZNF668,zinc finger protein 668,ZNF668,ENSG00000167394,XB-GENE-17338894,494807
3706,210,XB-GENEPAGE-962174,ALAD,aminolevulinate dehydratase,ALAD,ENSG00000148218,XB-GENE-17338288,444744
3707,1268,XB-GENEPAGE-962200,CNR1,cannabinoid receptor 1 (brain),CNR1,ENSG00000118432,XB-GENE-962202,373759
3708,3936,XB-GENEPAGE-962205,LCP1,lymphocyte cytosolic protein 1 (L-plastin),LCP1,ENSG00000136167,XB-GENE-962211,379911
3709,165829,XB-GENEPAGE-962216,GPR156,G protein-coupled receptor 156,GPR156,ENSG00000175697,XB-GENE-6488415,108709296
3710,51091,XB-GENEPAGE-962221,SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,SEPSECS,ENSG00000109618,XB-GENE-17341307,108704214
3711,6449,XB-GENEPAGE-962230,SGTA,small glutamine rich tetratricopeptide repeat co-chaperone alpha,SGTA,ENSG00000104969,XB-GENE-17332563,414520
3712,85300,XB-GENEPAGE-962244,ATCAY,"ataxia, cerebellar, Cayman type",ATCAY,ENSG00000167654,XB-GENE-17340707,121399355
3713,130013,XB-GENEPAGE-962247,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,ACMSD,ENSG00000153086,XB-GENE-962251,733325
3714,286133,XB-GENEPAGE-962255,SCARA5,scavenger receptor class A member 5,SCARA5,ENSG00000168079,XB-GENE-6486760,108718323
3715,1024,XB-GENEPAGE-962266,CDK8,cyclin-dependent kinase 8,CDK8,ENSG00000132964,XB-GENE-962272,447409
3716,7275,XB-GENEPAGE-962280,TUB,TUB bipartite transcription factor,TUB,ENSG00000166402,XB-GENE-962286,444597
3717,57669,XB-GENEPAGE-962300,EPB41L5,erythrocyte membrane protein band 4.1 like 5,EPB41L5,ENSG00000115109,XB-GENE-17338010,108702899
3718,2861,XB-GENEPAGE-962314,GPR37,G protein-coupled receptor 37 (endothelin receptor type B-like),GPR37,ENSG00000170775,XB-GENE-17346735,108713092
3719,55748,XB-GENEPAGE-962325,CNDP2,CNDP dipeptidase 2 (metallopeptidase M20 family),CNDP2,ENSG00000133313,XB-GENE-962331,380001
3720,3362,XB-GENEPAGE-962339,HTR6,"5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled",HTR6,ENSG00000158748,XB-GENE-17330354,108697283
3721,783,XB-GENEPAGE-962359,CACNB2,"calcium channel, voltage-dependent, beta 2 subunit",CACNB2,ENSG00000165995,XB-GENE-17337911,108719866
3722,3949,XB-GENEPAGE-962371,LDLR,low density lipoprotein receptor,LDLR,ENSG00000130164,XB-GENE-962375,373644
3723,133690,XB-GENEPAGE-962395,CAPSL,calcyphosine like,CAPSL,ENSG00000152611,XB-GENE-6488338,108707315
3724,6094,XB-GENEPAGE-962405,ROM1,retinal outer segment membrane protein 1,ROM1,ENSG00000149489,XB-GENE-17334124,398001
3725,1727,XB-GENEPAGE-962417,CYB5R3,cytochrome b5 reductase 3,CYB5R3,ENSG00000100243,XB-GENE-17342263,108712525
3726,22796,XB-GENEPAGE-962434,COG2,component of oligomeric golgi complex 2,COG2,ENSG00000135775,XB-GENE-6486861,108717859
3727,81887,XB-GENEPAGE-962448,LAS1L,"LAS1-like, ribosome biogenesis factor",LAS1L,ENSG00000001497,XB-GENE-6485753,108700089
3728,3920,XB-GENEPAGE-962455,LAMP2,lysosomal-associated membrane protein 2,LAMP2,ENSG00000005893,XB-GENE-962460,447742
3729,57149,XB-GENEPAGE-962488,LYRM1,LYR motif containing 1,LYRM1,ENSG00000102897,XB-GENE-1193905,100137705
3730,8459,XB-GENEPAGE-962492,TPST2,tyrosylprotein sulfotransferase 2,TPST2,ENSG00000128294,XB-GENE-17344617,108707091
3731,3898,XB-GENEPAGE-962503,LAD1,ladinin 1,LAD1,ENSG00000159166,XB-GENE-6488754,108709435
3732,140609,XB-GENEPAGE-962511,NEK7,NIMA-related kinase 7,NEK7,ENSG00000151414,XB-GENE-962516,414882
3733,51619,XB-GENEPAGE-962536,UBE2D4,ubiquitin conjugating enzyme E2 D4,UBE2D4,ENSG00000078967,XB-GENE-17330936,108712728
3734,253738,XB-GENEPAGE-962542,EBF3,EBF transcription factor 3,EBF3,ENSG00000108001,XB-GENE-17330439,108697390
3735,51535,XB-GENEPAGE-962554,PPHLN1,periphilin 1,PPHLN1,ENSG00000134283,XB-GENE-962561,444783
3736,6640,XB-GENEPAGE-962568,SNTA1,"syntrophin, alpha 1",SNTA1,ENSG00000101400,XB-GENE-17337969,108702777
3737,5049,XB-GENEPAGE-962579,PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2,PAFAH1B2,ENSG00000168092,XB-GENE-17346702,379732
3738,335,XB-GENEPAGE-962590,APOA1,apolipoprotein A-I,APOA1,ENSG00000118137,XB-GENE-962597,379421
3739,8874,XB-GENEPAGE-962605,ARHGEF7,Rho guanine nucleotide exchange factor 7,ARHGEF7,ENSG00000102606,XB-GENE-17335880,444424
3740,222236,XB-GENEPAGE-962614,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,NAPEPLD,ENSG00000161048,XB-GENE-962618,100137693
3741,54888,XB-GENEPAGE-962622,NSUN2,NOP2/Sun RNA methyltransferase 2,NSUN2,ENSG00000037474,XB-GENE-962628,414460
3742,8396,XB-GENEPAGE-962634,PIP4K2B,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",PIP4K2B,ENSG00000276293,XB-GENE-6078396,100036841
3743,64844,XB-GENEPAGE-962644,MARCHF7,membrane associated ring-CH-type finger 7,MARCHF7,ENSG00000136536,XB-GENE-962649,733332
3744,25875,XB-GENEPAGE-962657,LETMD1,LETM1 domain containing 1,LETMD1,ENSG00000050426,XB-GENE-17345211,108709875
3745,84293,XB-GENEPAGE-962666,PRXL2A,peroxiredoxin like 2A,PRXL2A,ENSG00000122378,XB-GENE-17336475,108703390
3746,4175,XB-GENEPAGE-962677,MCM6,minichromosome maintenance complex component 6,MCM6,ENSG00000076003,XB-GENE-6256556,380282
3747,10226,XB-GENEPAGE-962692,PLIN3,perilipin 3,PLIN3,ENSG00000105355,XB-GENE-17341646,446543
3748,10171,XB-GENEPAGE-962710,RCL1,RNA terminal phosphate cyclase-like 1,RCL1,ENSG00000120158,XB-GENE-17340709,735001
3749,64924,XB-GENEPAGE-962721,SLC30A5,"solute carrier family 30 (zinc transporter), member 5",SLC30A5,ENSG00000145740,XB-GENE-17332562,108707280
3750,7008,XB-GENEPAGE-962731,TEF,thyrotrophic embryonic factor,TEF,ENSG00000167074,XB-GENE-962737,494759
3751,359845,XB-GENEPAGE-962745,RFLNB,refilin B,RFLNB,ENSG00000183688,XB-GENE-17333141,100036933
3752,9960,XB-GENEPAGE-962758,USP3,ubiquitin specific peptidase 3,USP3,ENSG00000140455,XB-GENE-17341872,108712997
3753,1381,XB-GENEPAGE-962770,CRABP1,cellular retinoic acid binding protein 1,CRABP1,ENSG00000166426,XB-GENE-5991404,100174812
3754,4751,XB-GENEPAGE-962773,NEK2,NIMA-related kinase 2,NEK2,ENSG00000117650,XB-GENE-962781,379177
3755,55531,XB-GENEPAGE-962788,ELMOD1,ELMO/CED-12 domain containing 1,ELMOD1,ENSG00000110675,XB-GENE-17346495,108709990
3756,9099,XB-GENEPAGE-962795,USP2,ubiquitin specific peptidase 2,USP2,ENSG00000036672,XB-GENE-6488619,108697600
3757,9781,XB-GENEPAGE-962807,RNF144A,ring finger protein 144A,RNF144A,ENSG00000151692,XB-GENE-17344988,108718231
3758,219771,XB-GENEPAGE-962813,CCNY,cyclin Y,CCNY,ENSG00000108100,XB-GENE-17333395,108719837
3759,84876,XB-GENEPAGE-962825,ORAI1,ORAI calcium release-activated calcium modulator 1,ORAI1,ENSG00000276045,XB-GENE-962830,403390
3760,283635,XB-GENEPAGE-962836,FAM177A1,family with sequence similarity 177 member A1,FAM177A1,ENSG00000151327,XB-GENE-17336829,108699718
3761,10882,XB-GENEPAGE-962847,C1QL1,"complement component 1, q subcomponent-like 1",C1QL1,ENSG00000131094,XB-GENE-17346084,108702546
3762,51104,XB-GENEPAGE-962853,ABHD17B,abhydrolase domain containing 17B,ABHD17B,ENSG00000107362,XB-GENE-962859,446585
3763,4139,XB-GENEPAGE-962866,MARK1,MAP/microtubule affinity-regulating kinase 1,MARK1,ENSG00000116141,XB-GENE-962870,432201
3764,10026,XB-GENEPAGE-962875,PIGK,phosphatidylinositol glycan anchor biosynthesis class K,PIGK,ENSG00000142892,XB-GENE-962881,495482
3765,26054,XB-GENEPAGE-962886,SENP6,SUMO specific peptidase 6,SENP6,ENSG00000112701,XB-GENE-962892,443695
3766,578,XB-GENEPAGE-962897,BAK1,BCL2 antagonist/killer 1,BAK1,ENSG00000030110,XB-GENE-962901,734644
3767,4714,XB-GENEPAGE-962917,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,NDUFB8,ENSG00000166136,XB-GENE-962923,100049132
3768,84552,XB-GENEPAGE-962927,PARD6G,par-6 family cell polarity regulator gamma,PARD6G,ENSG00000178184,XB-GENE-962933,444140
3769,26973,XB-GENEPAGE-962948,CHORDC1,cysteine and histidine rich domain containing 1,CHORDC1,ENSG00000110172,XB-GENE-962955,414542
3770,5569,XB-GENEPAGE-962960,PKIA,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha",PKIA,ENSG00000171033,XB-GENE-17341681,108695357
3771,11075,XB-GENEPAGE-962965,STMN2,stathmin 2,STMN2,ENSG00000104435,XB-GENE-6254239,780757
3772,26091,XB-GENEPAGE-962980,HERC4,HECT and RLD domain containing E3 ubiquitin protein ligase 4,HERC4,ENSG00000148634,XB-GENE-962985,446573
3773,1114,XB-GENEPAGE-962992,CHGB,chromogranin B,CHGB,ENSG00000089199,XB-GENE-6488062,108717754
3774,549,XB-GENEPAGE-962999,AUH,AU RNA binding protein/enoyl-CoA hydratase,AUH,ENSG00000148090,XB-GENE-963004,734576
3775,6845,XB-GENEPAGE-963012,VAMP7,vesicle associated membrane protein 7,VAMP7,"ENSG00000124333,ENSG00000292366",XB-GENE-17339918,108700160
3776,8539,XB-GENEPAGE-963037,API5,apoptosis inhibitor 5,API5,ENSG00000166181,XB-GENE-963042,379918
3777,89927,XB-GENEPAGE-963059,BMERB1,bMERB domain containing 1,BMERB1,ENSG00000166780,XB-GENE-17338672,108703111
3778,64798,XB-GENEPAGE-963064,DEPTOR,DEP domain containing MTOR interacting protein,DEPTOR,ENSG00000155792,XB-GENE-6486936,108695427
3779,2617,XB-GENEPAGE-963078,GARS1,glycyl-tRNA synthetase 1,GARS1,ENSG00000106105,XB-GENE-17337619,734988
3780,3219,XB-GENEPAGE-963093,HOXB9,homeobox B9,HOXB9,ENSG00000170689,XB-GENE-17342281,100381079
3781,90025,XB-GENEPAGE-963102,UBE3D,ubiquitin protein ligase E3D,UBE3D,ENSG00000118420,XB-GENE-963106,495985
3782,92609,XB-GENEPAGE-963111,TIMM50,translocase of inner mitochondrial membrane 50 homolog,TIMM50,ENSG00000105197,XB-GENE-17341067,108700295
3783,55379,XB-GENEPAGE-963186,LRRC59,leucine rich repeat containing 59,LRRC59,ENSG00000108829,XB-GENE-963192,379081
3784,7087,XB-GENEPAGE-963197,ICAM5,intercellular adhesion molecule 5,ICAM5,ENSG00000105376,XB-GENE-17338817,108713335
3785,25945,XB-GENEPAGE-963225,NECTIN3,poliovirus receptor-related 3,NECTIN3,ENSG00000177707,XB-GENE-17338299,108709509
3786,9271,XB-GENEPAGE-963232,PIWIL1,piwi-like RNA-mediated gene silencing 1,PIWIL1,ENSG00000125207,XB-GENE-17330054,108716375
3787,23295,XB-GENEPAGE-963239,MGRN1,"mahogunin ring finger 1, E3 ubiquitin protein ligase",MGRN1,ENSG00000102858,XB-GENE-963245,398990
3788,90952,XB-GENEPAGE-963267,ESAM,endothelial cell adhesion molecule,ESAM,ENSG00000149564,XB-GENE-17339577,108704928
3789,29914,XB-GENEPAGE-963272,UBIAD1,UbiA prenyltransferase domain containing 1,UBIAD1,ENSG00000120942,XB-GENE-6488078,108697957
3790,116064,XB-GENEPAGE-963288,LRRC58,leucine rich repeat containing 58,LRRC58,ENSG00000163428,XB-GENE-963291,398462
3791,286826,XB-GENEPAGE-963298,LIN9,lin-9 DREAM MuvB core complex component,LIN9,ENSG00000183814,XB-GENE-17345269,108717686
3792,92369,XB-GENEPAGE-963317,SPSB4,splA/ryanodine receptor domain and SOCS box containing 4,SPSB4,ENSG00000175093,XB-GENE-17334109,108718148
3793,126917,XB-GENEPAGE-963324,IFFO2,intermediate filament family orphan 2,IFFO2,ENSG00000169991,XB-GENE-17343414,108697869
3794,128637,XB-GENEPAGE-963354,TBC1D20,TBC1 domain family member 20,TBC1D20,ENSG00000125875,XB-GENE-17332856,108702450
3795,7388,XB-GENEPAGE-963372,UQCRH,ubiquinol-cytochrome c reductase hinge protein,UQCRH,ENSG00000173660,XB-GENE-6485665,108715581
3796,127435,XB-GENEPAGE-963381,PODN,podocan,PODN,ENSG00000174348,XB-GENE-6487554,108714993
3797,1376,XB-GENEPAGE-963399,CPT2,carnitine palmitoyltransferase 2,CPT2,ENSG00000157184,XB-GENE-963406,379893
3798,3336,XB-GENEPAGE-963411,HSPE1,heat shock protein family E (Hsp10) member 1,HSPE1,ENSG00000115541,XB-GENE-17339777,108703085
3799,387263,XB-GENEPAGE-963424,C5H6ORF120,chromosome 5 C6orf120 homolog,C6orf120,ENSG00000185127,XB-GENE-17342555,108717844
3800,30061,XB-GENEPAGE-963434,SLC40A1,"solute carrier family 40 (iron-regulated transporter), member 1",SLC40A1,ENSG00000138449,XB-GENE-6078185,446661
3801,9551,XB-GENEPAGE-963445,ATP5MF,ATP synthase membrane subunit f,ATP5MF,ENSG00000241468,XB-GENE-963451,447188
3802,26986,XB-GENEPAGE-963456,PABPC1,"poly(A) binding protein, cytoplasmic 1",PABPC1,ENSG00000070756,XB-GENE-963463,379896
3803,51193,XB-GENEPAGE-963473,ZNF639,zinc finger protein 639,ZNF639,ENSG00000121864,XB-GENE-17335612,108718089
3804,112950,XB-GENEPAGE-963497,MED8,mediator complex subunit 8,MED8,ENSG00000159479,XB-GENE-17332068,446776
3805,5142,XB-GENEPAGE-963511,PDE4B,phosphodiesterase 4B,PDE4B,ENSG00000184588,XB-GENE-963517,444562
3806,6483,XB-GENEPAGE-963531,ST3GAL2,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2 gene 1",ST3GAL2,ENSG00000157350,XB-GENE-17336545,108715471
3807,57567,XB-GENEPAGE-963552,ZNF319,zinc finger protein 319,ZNF319,ENSG00000166188,XB-GENE-17338303,108715459
3808,2787,XB-GENEPAGE-963559,GNG5,"guanine nucleotide binding protein (G protein), gamma 5",GNG5,ENSG00000174021,XB-GENE-963565,443796
3809,285237,XB-GENEPAGE-963602,C2H3ORF38,chromosome 2 C3orf38 homolog,C3orf38,ENSG00000179021,XB-GENE-963608,735114
3810,8450,XB-GENEPAGE-963627,CUL4B,cullin 4B,CUL4B,ENSG00000158290,XB-GENE-963634,735163
3811,10659,XB-GENEPAGE-963639,CELF2,"CUGBP, Elav-like family member 2",CELF2,ENSG00000048740,XB-GENE-6255205,100190783
3812,5209,XB-GENEPAGE-963651,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",PFKFB3,ENSG00000170525,XB-GENE-6078189,431861
3813,80324,XB-GENEPAGE-963671,PUS1,pseudouridylate synthase 1,PUS1,ENSG00000177192,XB-GENE-6252074,108707143
3814,4326,XB-GENEPAGE-963678,MMP17,matrix metallopeptidase 17,MMP17,ENSG00000198598,XB-GENE-17339878,108707145
3815,7353,XB-GENEPAGE-963686,UFD1,ubiquitin recognition factor in ER associated degradation 1,UFD1,ENSG00000070010,XB-GENE-963692,399034
3816,2802,XB-GENEPAGE-963701,GOLGA3,golgin A3,GOLGA3,ENSG00000090615,XB-GENE-6487512,108707138
3817,1910,XB-GENEPAGE-963708,EDNRB,endothelin receptor type B,EDNRB,ENSG00000136160,XB-GENE-17344101,108709766
3818,170622,XB-GENEPAGE-963716,COMMD6,COMM domain containing 6,COMMD6,ENSG00000188243,XB-GENE-6252473,779301
3819,899,XB-GENEPAGE-963728,CCNF,cyclin F,CCNF,ENSG00000162063,XB-GENE-17344699,108703171
3820,204474,XB-GENEPAGE-963739,PDILT,"protein disulfide isomerase-like, testis expressed",PDILT,ENSG00000169340,XB-GENE-17335999,108703164
3821,4760,XB-GENEPAGE-963756,NEUROD1,neuronal differentiation 1,NEUROD1,ENSG00000162992,XB-GENE-963762,444022
